age,very_weak,weak,middle,good,excellent,higher,gender
13..19,-35..(-1.0/0),35.1..38.3,38.4..45.1,45.2..50.9,51.0..55.9,56.0..(1.0/0),male
20..29,-33..(-1.0/0),33.1..36.4,36.5..42.4,42.5..46.4,46.5..52.4,52.5..(1.0/0),male
30..39,-31.5..(-1.0/0),31.6..35.4,35.5..40.9,41.0..44.9,45.0..49.4,49.5..(1.0/0),male
40..49,-30.2..(-1.0/0),30.3..33.5,33.6..38.9,39.0..43.7,43.8..48.0,48.1..(1.0/0),male
50..59,-26.1..(-1.0/0),26.2..30.9,31.0..35.7,35.8..40.9,41.0..45.3,45.4..(1.0/0),male
60..(1.0/0),-20.5..(-1.0/0),20.6..26.0,26.1..32.3,32.3..36.4,36.5..44.2..(1.0/0),44.3,male
13..19,-25..(-1.0/0),25.1..39.9,31.0..34.9,35.0..38.9,39.0..41.9,42.0..(1.0/0),female
20..29,-23.6..(-1.0/0),23.7..28.9,29.0..32.9,33.0..36.9,37.0..40.9,41.0..(1.0/0),female
30..39,-22.8..(-1.0/0),22.9..26.9,27.0..31.4,31.5..35.6,35.7..40.0,40.1..(1.0/0) ,female
40..49,-21..(-1.0/0),21.1..24.4,24.5..28.9,29.0..32.8,32.9..36.9,37.0..(1.0/0),female
50..59,-20.2..(-1.0/0),20.3..22.7 ,22.8..26.9,27.0..31.4,31.5..35.7,35.8..(1.0/0),female
60..(1.0/0),-17.5..(-1.0/0),17.6..20.1,20.2..24.4,24.5..30.2,30.3..31.4,31.50..(1.0/0),female